actual,predicted
47175.67,20731.07335338858
49979.19,21025.021528741723
15056.57,22571.40120639165
22604.89,20875.41944283762
41606.0,22241.406544055248
37702.25,14623.6588177802
21260.31,30846.62091921206
6977.24,19620.471026625182
39486.64,27301.855095408355
35144.44,21101.93895534229
23300.52,27212.30390646854
53122.46,22823.560043751673
45379.18,22550.801995057413
1856.49,22024.94346438429
27416.93,28490.933163144768
56132.73,25090.53998895369
19286.35,17369.852483385457
37594.21,20040.341951181483
32085.61,25257.351230030003
13476.61,24422.399731152604
35650.72,26740.653908862852
37369.25,20977.46211763639
49659.0,22188.98803068086
10618.35,22623.50691017159
1370.7,22715.568645823005
23943.29,24909.27997981504
10304.87,19026.747940234745
44057.3,21417.162462308843
22294.88,31323.536223190607
35709.12,21300.769837165863
40593.28,18818.550295801753
32543.38,27323.57940618119
43051.91,16502.0526150175
917.74,28172.973092560835
11579.58,27432.624868802483
10227.7,33586.00895606898
16020.53,24330.89009417942
7472.43,26274.343864518778
3898.87,24872.46156202283
53620.37,31397.478181590155
8700.01,23625.408313354306
24901.13,21523.263187031473
23257.47,28419.065370263892
22714.51,32275.90596749435
30502.34,25959.577895328668
44877.77,26679.546234169622
35916.14,27204.390500658395
44152.92,21533.64627934527
45442.62,27570.825887181367
21082.9,19777.728702879434
29937.14,15884.622365825666
42938.46,28238.611958583926
4272.11,28195.920679655115
29613.96,23840.932057496007
18033.21,20451.162942096533
12597.16,24272.185904482445
54095.34,20260.888980457505
22580.75,16915.595357407423
25907.78,27298.14378272186
53743.68,25940.560824678352
18434.6,21135.776480563785
41263.43,23895.935576560423
1521.97,28122.398502014406
35089.91,32648.788376665012
31341.6,20884.480909823444
10680.97,24843.35179881863
21417.2,20502.842850903387
42433.51,31556.67493265801
30507.17,22260.526831520852
48160.79,18954.099801874414
45835.32,28235.614368645707
6335.63,23766.58231082713
8058.58,23727.01281046853
11104.21,33963.36333547867
37652.47,23218.256096242927
19766.99,18887.57506119221
16756.25,24349.275694583677
20880.68,24873.34115423476
37095.6,21065.948152292112
10954.87,20796.127366528115
29631.95,18878.319455484747
19012.69,21191.497330838807
28235.33,20542.85898112951
9973.89,23942.63373953405
45493.82,25269.52557719778
12338.73,27566.93983015451
23734.01,20690.280666639264
27667.81,27095.01279242373
11031.59,19078.185299931243
6310.57,24510.67004615191
36744.0,18236.18768872814
34325.21,15917.672844172572
23317.07,24578.75384609862
50252.44,23885.684102035433
1142.63,24331.85771330644
25022.87,25333.585426611142
25134.78,28438.60824578575
22328.64,30525.215795937693
41588.01,23171.822211413415
5344.53,21277.261427438396
5204.55,23817.551573463832
2889.8,19203.40501426469
42394.85,22573.33270436073
23111.23,26155.322402449634
35677.31,26245.39028716699
19617.08,27416.655034002637
46687.14,27215.945942825987
17095.59,21386.452855318148
2257.38,20428.77374907169
40313.2,30974.859971786915
30663.05,23592.90402613573
30109.97,26044.755934384917
27289.4,26199.784243149854
44822.91,27880.340621288742
2579.47,25212.572940014397
22519.58,31077.280572623342
38140.55,26849.04263930121
50610.21,21787.603873956265
45487.65,26320.02944002143
45814.1,27411.5759467143
26477.35,26862.71776314875
35898.89,29423.95522464794
50177.46,15976.504847925267
26687.76,28868.01569899684
52025.3,20049.5694779849
42700.81,22711.15643660798
1486.33,30398.947343415897
1207.9,27010.482018748342
1944.29,22755.93785987262
984.57,26438.861413884497
28295.66,19846.676456824578
29572.31,24211.14786465935
9578.34,18984.293623793772
14726.89,22797.937207537143
42356.33,22804.822647113597
17002.43,21431.694833871003
48880.59,23805.699921575368
56412.39,26729.16649209349
29241.06,23017.226561670446
27161.16,28239.918200830372
3863.42,20445.078653142446
38729.32,31473.67055493155
28026.74,19010.477823484714
38203.95,20933.43488003734
9984.14,27879.494692612443
32840.47,27357.004364435394
37517.45,31248.507574958654
5391.11,26476.308945894052
52762.12,21444.504444359434
26345.71,22968.823535056206
32053.14,26405.58133731558
22405.35,20648.910561686793
9857.6,21763.285444985922
18721.66,23923.57458109331
17224.3,29457.20452684832
14346.97,23053.456175800224
46983.85,29272.875890266027
28634.02,27332.24678858755
21533.41,30480.79942959123
42324.94,22077.068263146462
35950.12,27184.086565872978
56688.98,20284.803304456887
24723.96,33697.35673724674
43703.78,28504.52614111219
41152.89,32578.91548102399
52127.51,22659.347629650914
26749.98,24470.4096857654
16452.17,26913.026092870005
24948.0,22119.356076328757
35330.62,18771.689219527492
45644.2,27137.045327726526
40879.26,19192.841398990502
6730.21,24488.984188031547
55692.26,20095.631575060128
2749.9,21878.947163881658
36800.09,22757.521123119477
34859.68,26806.401494486046
29871.31,28423.119702407
24132.13,27313.750872328586
9735.68,26421.650679251223
28962.89,32899.38772152265
24192.02,26595.325397244833
1973.37,32411.362804571865
28373.57,24265.147160185563
13444.84,27217.212090702735
32419.01,24913.010839243267
43603.88,24176.468498674087
25865.98,30782.501442047025
16888.39,20805.674852814456
5955.37,31224.443113385263
29382.42,27252.082192203005
574.69,24503.382634789632
42415.75,21845.08901809111
13401.74,27184.760854420852
51124.55,30798.958677738075
51765.4,22004.094376303477
33480.64,23987.935830380586
1750.63,22733.574721415855
19007.22,20430.282408227486
39806.89,21350.96851796111
24000.35,22101.02718873338
20864.58,21459.315042366725
30329.31,32740.265024502507
6472.66,32474.842848438522
16927.69,24011.67649867548
23935.46,20445.214154126283
9437.01,25475.205198049734
9196.6,28380.3371557017
5334.03,29575.596662102078
47192.54,21583.717618336814
49982.07,21593.275236287423
40716.92,17441.2277491251
41779.8,21860.096625306265
46396.12,17935.95034344935
35382.31,21659.038959092162
29301.39,24591.861365773624
40772.78,22135.246367615644
15129.94,31346.84111707683
39448.59,19239.304730506898
18795.51,21674.317583804885
30087.1,24852.104865696296
31061.02,24536.754318888696
15849.56,24388.594370755185
3146.93,28790.62716614628
19073.59,22566.929495929675
28061.49,24055.732808219756
12301.52,14851.81729546431
8457.37,29347.910296676047
31874.06,28593.396994718947
10564.4,19428.526979015216
34850.59,24793.95234444833
24496.86,27546.07337157542
31816.14,25395.501515968754
27333.06,22856.427123705165
48088.55,33631.64301440142
34962.3,24125.27458943517
29184.68,24564.567940538593
18891.23,31462.727450252678
24929.14,19143.07030785916
34446.24,27229.329376057478
9081.71,22713.267624281638
41377.71,20685.57369007325
47767.22,20584.91070370106
15727.17,28025.14308515257
44617.65,24325.737590131776
40158.85,29056.328859587036
50098.02,17168.577147696273
38421.44,33591.50354968033
26750.37,26170.69100308497
39582.09,21287.809815575063
17713.11,22792.668585916206
20221.28,24633.332941661116
31170.26,31238.299070391717
34473.09,19063.77706476945
17147.31,32206.883826992187
45257.9,20126.725048396176
44884.59,28177.971011568254
37429.73,28643.761499237804
33766.93,24595.992788668562
39372.59,16487.349066405855
29702.46,24588.845282661594
14750.52,33788.64417680264
33722.37,24754.42533263344
14205.02,24481.07888431465
21673.87,19459.048321223523
35818.75,24667.28185992224
36712.4,24754.273953308253
46986.38,25221.547667988
23564.7,25416.140987179002
7700.46,20608.272444468446
1767.05,31225.06123514954
41336.72,22613.32078162646
7589.49,18938.93839070349
22406.24,28657.53302547946
27208.17,31539.393916383662
26602.0,31578.928165649206
25409.49,27348.37272874056
13426.9,23077.689492771067
20816.6,27279.401736554064
36643.27,21886.69258868074
7070.94,19705.525074970345
52569.21,20256.900323197304
41233.0,29312.730822341495
6701.54,24978.322434942533
8101.9,22739.7384728885
29458.54,24802.5279940003
2418.17,20804.457794053294
16640.57,24178.158815612427
50312.88,22635.460021562252
28551.45,31376.041126956836
22319.98,22627.513890850423
57588.73,24408.974157598383
33316.74,21471.46954394623
42459.75,26830.634382953504
17595.57,28604.040348259365
30234.05,28483.030518468266
5034.96,17528.47765028959
44745.57,19304.31195353389
40327.45,25446.03496389562
30541.38,26182.949934720047
10179.33,21408.674308346755
15870.96,32559.42839235671
8006.65,23632.538482740634
1792.44,23978.309315920047
34042.67,19048.504736253726
43305.89,24749.26701283427
34088.46,22950.66365010554
9188.41,28548.42480930724
25841.38,23687.19027529724
23012.5,22685.42862548558
40211.56,24515.248359525005
42175.62,24739.35653637752
8884.31,20987.23188735744
1330.44,26268.884284796386
46159.5,24640.65471881874
9369.75,22562.769436346665
49785.97,25446.112919282183
18061.9,24286.68955076142
40257.48,28822.19720552909
11382.9,25032.44833046681
15002.37,24051.74654688445
42855.11,16837.45123256641
20642.66,21824.80032637641
38177.3,21823.324411099085
47489.87,32386.83263927114
23642.65,24819.272621329546
45308.93,23220.684220527168
13885.5,25639.56345746662
25866.5,24623.372038147794
12307.87,24527.352432960848
28171.7,22535.79325857644
22476.63,19524.67038148122
37684.56,28100.14990179047
25824.94,22777.217051650583
8450.6,27807.903474803446
34924.65,18922.423893740746
37487.87,29013.18217202065
47468.77,26419.324096281525
38257.65,29352.757738324508
19215.43,20927.295436087225
36121.71,21876.35173937418
26821.15,30984.693306508914
23242.07,26571.239666089234
19414.99,20972.299970425192
6174.84,22772.7790048654
7430.78,24518.126696454456
53715.15,26579.89191237636
43098.3,20122.477922973874
45538.56,20799.238728528126
19953.54,22624.926575885474
32496.03,29359.43318298948
16578.14,20685.252494129156
40312.72,17280.888477822362
3078.03,28411.008661246276
7887.22,23849.415613015924
35806.77,19344.10144279596
44685.57,24437.094298384443
22719.63,31569.950742119225
34463.61,14349.944280021806
14688.14,22509.723850083392
37017.5,31204.216992309623
42883.64,20345.61725442093
29847.43,32465.669510699547
13501.93,21164.31127281295
36650.65,26231.16201224637
33845.07,31137.81811660564
6656.14,24398.546759066543
